metin,eksiler,kategori,onem_skoru
"Çöpler belirlenen saat dışında toplanıyor, etrafa yayılıyor.",2,Temizlik,2
"Kanalizasyon rögar kapağı açık kalmış, tehlike yaratıyor.",2,Altyapı,2
"Spor sahasında gece aydınlatması yok, kullanamıyoruz.",2,İmar / Yapı,2
"Mahallemizdeki çocuk parkının zemininde çukurlar oluşmuş, çocuklar oynarken düşme tehlikesi yaşıyor.",2,Çevre,2
"Sokak lambaları haftalardır yanmıyor, gece yürürken tedirgin oluyoruz.",2,Güvenlik,2
"Kaldırımlar engelli bireyler için uygun değil, tekerlekli sandalye ile geçmek imkansız.",2,Altyapı,2
"Çöp konteynerleri düzenli olarak dezenfekte edilmiyor, kötü koku yayılıyor.",2,Temizlik,2
"Otobüs duraklarında oturma alanı yok, yaşlılar ayakta beklemek zorunda kalıyor.",2,Ulaşım,2
"Mahallemizdeki boş arsada sivrisinekler çoğaldı, ilaçlama yapılmasını istiyoruz.",2,Çevre,2
Otobüs güzergahı değişmiş ama hiçbir yerde duyuru yapılmamış.,2,Ulaşım,2
"Sokakta sürekli başıboş köpekler dolaşıyor, çocuklar korkuyor.",2,Güvenlik,2
"Sahildeki spor aletlerinin çoğu kırık, kullanılamaz halde.",2,Çevre,2
"Toplu taşımada klima çalışmıyor, yazın dayanılmaz oluyor.",2,Ulaşım,2
"Sokak aralarındaki çöp konteynerleri kaldırılmış, çöpler yerlere atılıyor.",2,Temizlik,2
Engelli otopark alanları normal araçlar tarafından işgal ediliyor.,2,Güvenlik,2
"Sokakta mazgal kapağı kırılmış, içine biri düşebilir.",2,Altyapı,2
"Mahallemizde haftalardır çöpler alınmıyor, çok kötü kokuyor.",2,Temizlik,2
"Toplu taşıma saatleri çok seyrek, işe yetişemiyoruz.",2,Ulaşım,2
"Mahalleye yapılan otobüs durağında üstü kapalı alan yok, yağmurda ıslanıyoruz.",2,Ulaşım,2
Parktaki banklar kırık ve oturulamıyor.,2,Çevre,2
Mahallemizdeki dere yatağı temizlenmediği için kötü koku yayıyor.,2,Temizlik,2
Otobüslerin çoğunda temassız kart cihazı çalışmıyor.,2,Ulaşım,2
"Sokak lambası gece gündüz yanıyor, gereksiz enerji harcanıyor.",2,Altyapı,2
Yağmur sonrası rögarlar taşınca sokaklar göle döndü.,2,Altyapı,2
"Mahallede yeterince çöp kutusu yok, insanlar yere atıyor.",2,Temizlik,2
Sokakta açıkta bırakılan elektrik panosu tehlike saçıyor.,2,Güvenlik,2
Otobüs şoförlerinin bazıları çok kaba davranıyor.,2,Ulaşım,2
Çocuk parkındaki salıncak zinciri kopmak üzere.,2,Çevre,2
"Mahallede haftalardır ilaçlama yapılmadı, böcekler çoğaldı.",2,Temizlik,2
"Yağmur sonrası çukurlar oluşuyor, arabalar zarar görüyor.",2,Altyapı,2
"Sokaklardaki rögar kapakları kaygan, birkaç kişi düşme tehlikesi geçirdi.",2,Altyapı,2
"Toplu taşımada öğrenci kartı okumuyor, cebimizden ekstra para çıkıyor.",2,Ulaşım,2
"Bazı sokaklar gece çok karanlık, lamba yok.",2,Güvenlik,2
"Otobüs duraklarında dijital saatler arızalı, otobüs ne zaman gelecek bilmiyoruz.",2,Ulaşım,2
Binaların önüne yapılan kazılar sonrası yollar tam onarılmıyor.,2,Altyapı,2
"Yol çalışması var ama uyarı levhası koymamışlar, kaza riski çok yüksek.",2,Altyapı,2
Çocuk oyun alanındaki kaydırak paslı ve tehlikeli görünüyor.,2,Çevre,2
"Sokakta sabaha kadar inşaat çalışması yapılıyor, uyuyamıyoruz.",2,İmar / Yapı,2
"Toplu taşıma araçları çok kalabalık, ayakta bile yer yok.",2,Ulaşım,2
"Mahalledeki çeşme haftalardır akmıyor, kimse ilgilenmiyor.",2,Altyapı,2
"Kaldırımlar sürekli işgal altında, bebek arabasıyla geçemiyoruz.",2,Güvenlik,2
"Kışın yol tuzlama yapılmadı, buz yüzünden düşenler oldu.",2,Altyapı,2
"Otobüsler çok eski, sürekli arızalanıyor.",2,Ulaşım,2
"Otobüs durağının üzeri yok, yağmurda sırılsıklam oluyoruz.",2,Ulaşım,2
"Sokak lambaları günlerdir yanmıyor, gece yürümeye korkuyorum.",2,Güvenlik,2
"Kanalizasyon kokusu tüm sokağa yayılmış, cam bile açamıyoruz.",2,Altyapı,2
"Mahallemizdeki boş arsa çöplüğe dönmüş, ilgilenilmiyor.",2,Temizlik,2
"Toplu taşıma saatleri çok seyrek, işe geç kalıyorum.",2,Ulaşım,2
"Yeni yapılan asfalt 1 haftada bozuldu, arabam zarar gördü.",2,Altyapı,2
Engelli rampası var ama önünde sürekli araç park ediyor.,2,Güvenlik,2
"Kamu alanındaki otlar çok uzamış, yılan çıkar diye korkuyoruz.",2,Çevre,2
Sabahları çöpler toplanmadığı için mahallede kötü bir koku oluyor.,2,Temizlik,2
"Otobüs şoförleri telefonla konuşuyor, bu çok tehlikeli.",2,Ulaşım,2
"Pazar yerinde yerler çok kirli, çamur içinde alışveriş yapıyoruz.",2,Temizlik,2
"Parklardaki banklar kırık, oturacak yer kalmamış.",2,Çevre,2
"Sahildeki yürüyüş yolunda aydınlatma yok, akşamları kullanamıyoruz.",2,Güvenlik,2
"Engelli tuvaleti kilitli oluyor, kimse kullanamıyor.",2,Altyapı,2
"Yağmur sonrası sokaklar göl gibi, drenaj sorunu var.",2,Altyapı,2
"Otobüslerin klimaları çalışmıyor, yazın dayanılmaz oluyor.",2,Ulaşım,2
"Mahallemize haftalardır sokak süpürgesi uğramıyor, yerler çöp içinde.",2,Temizlik,2
"Çocuk oyun parkında güvenlik kameraları yok, endişe duyuyoruz.",2,Güvenlik,2
Otobüs güzergahı değişti ama bilgilendirme yapılmadı.,2,Ulaşım,2
"Kaldırımlar çok yüksek, yaşlılar ve engelliler çıkamıyor.",2,Altyapı,2
"Pazar günleri belediyeye ulaşmak imkansız, iletişim kesiliyor.",2,Sosyal Hizmet,2
"Yürüyüş parkurunun zemini çok kaygan, düşen çok kişi oldu.",2,Çevre,2
Sahildeki spor aletleri paslanmış ve kırık.,2,Çevre,2
"Bazı belediye çalışanları vatandaşla ilgilenmiyor, ters cevap veriyor.",2,Sosyal Hizmet,2
"Sabah saatlerinde çöp kamyonları yolları kapatıyor, trafik felç oluyor.",2,Temizlik,2
"Mahallemizde sinek çok fazla, ilaçlama yapılmıyor.",2,Çevre,2
Otobüs kart dolum cihazı haftalardır çalışmıyor.,2,Ulaşım,2
Kültür merkezinin önündeki merdivenler çok dik ve kaygan.,2,Altyapı,2
"Sahil yürüyüş yolunda bisikletliler yayalara çarpıyor, çizgi ayrımı yok.",2,Çevre,2
"E-belediye sistemine giriş yapamıyorum, sürekli hata veriyor.",2,Teknoloji / İletişim,2
"Yol kenarlarında çöp poşetleri birikmiş, hiç toplanmamış.",2,Temizlik,2
"Otobüsler engelli rampasını açmıyor, tekerlekli sandalye kullanıcıları bekliyor.",2,Ulaşım,2
Sokakta aşırı hız yapan araçlar için hız kesici yapılmalı.,2,Güvenlik,2
"Belediye otobüslerinde hijyen eksik, koltuklar çok kirli.",2,Ulaşım,2
Caddelerde gece sürekli drift atan arabalar huzuru kaçırıyor.,2,Güvenlik,2
"Belediyeye ait tuvaletler kötü durumda, hijyen sıfır.",2,Sosyal Hizmet,2
"Sahildeki banklar güneşte aşırı ısınıyor, oturulmuyor.",2,Çevre,2
Otobüs uygulamasında otobüs saatleri yanlış gösteriliyor.,2,Teknoloji / İletişim,2
Elektrik panoları çocukların ulaşabileceği yerde açık duruyor.,2,Güvenlik,2
"Yeni yapılan kavşakta yön tabelası eksik, herkes ters yöne giriyor.",2,Altyapı,2
"Parkın içindeki çeşme çalışmıyor, çocuklar susuz kalıyor.",2,Altyapı,2
"Yol üzerindeki kaldırımlar bozuk, tekerlekli sandalye geçemiyor.",2,Altyapı,2
"Mahallemizde sokak lambaları sürekli yanıp sönüyor, göz alıyor.",2,Güvenlik,2
"Yağmur sonrası yollarda büyük çukurlar oluşuyor, araçlar zarar görüyor.",2,Altyapı,2
"Yaya geçidi boyaları silinmiş, araçlar durmuyor.",2,Güvenlik,2
"Belediye otobüslerinde klima çok açılıyor, hasta oluyoruz.",2,Ulaşım,2
"Bazı belediye otobüsleri çok eski, sürekli arıza yapıyor.",2,Ulaşım,2
Sahildeki yürüyüş yolunda egzoz kokusu çok yoğun.,2,Çevre,2
Mahallemizdeki konteynerler çok eski ve koku yayıyor.,2,Temizlik,2
"Toplu taşımada sürekli yüksek sesle müzik açanlar var, denetim yok.",2,Ulaşım,2
"Otobüs duraklarında çöp kutusu yok, herkes yere atıyor.",2,Çevre,2
"Yeni yapılan kaldırımlar kaygan taşla döşenmiş, düşme riski var.",2,Altyapı,2
Semt pazarının etrafında araç parkı için hiç yer bırakılmamış.,2,Altyapı,2
Sokak hayvanlarına yönelik bakım çalışmaları yetersiz.,2,Sosyal Hizmet,2
"Yağmur suyu mazgalları tıkanmış, yollar göl oluyor.",2,Altyapı,2
"Bisiklet yoluna araçlar park ediyor, kimse denetlemiyor.",2,Ulaşım,2
"Bazı mahallelerde çöp konteyneri bile yok, herkes yere atıyor.",2,Temizlik,2
"Yaya geçitleri akşam görünmüyor, aydınlatma yetersiz.",2,Güvenlik,2
Otobüs içindeki bilgilendirme ekranları çalışmıyor.,2,Ulaşım,2
Çocuk parkındaki salıncaklar paslanmış ve tehlikeli.,2,Çevre,2
"Şehir merkezinde otopark yetersiz, sürekli trafik oluşuyor.",2,Altyapı,2
"Sahil temizliği çok yetersiz, plastik şişeler her yerde.",2,Çevre,2
"Belediyeye telefonla ulaşmak çok zor, sürekli meşgul çalıyor.",2,Teknoloji / İletişim,2
"Bazı duraklarda üstü kapalı bekleme alanı yok, yağmurda ıslanıyoruz.",2,Ulaşım,2
"Sabah saatlerinde otobüs bulmak imkansız, çok az geliyor.",2,Ulaşım,2
"Mahallemizdeki yol çalışması aylarca sürdü, hâlâ tamamlanmadı.",2,Altyapı,2
Çöp kutuları gece taşırılıyor ama ses çok rahatsız edici.,2,Temizlik,2
Yağmurlu günlerde otobüs duraklarının zemini su doluyor.,2,Ulaşım,2
"Kaldırımlarda motosikletler park ediyor, yürüyemiyoruz.",2,Güvenlik,2
"Belediye etkinlik duyuruları çok geç yapılıyor, kaçırıyoruz.",2,Teknoloji / İletişim,2
"Sokak lambaları gece yanmıyor, çok karanlık oluyor.",2,Güvenlik,2
"Kütüphanelerde yer bulmak çok zor, kapasite yetersiz.",2,Eğitim,2
"Sokakta başıboş köpekler var, çocuklar korkuyor.",2,Sosyal Hizmet,2
"Bazı otobüs şoförleri çok sert fren yapıyor, yaşlılar zorlanıyor.",2,Ulaşım,2
"Mahalledeki çöpler düzenli alınmıyor, sokak kokuyor.",2,Temizlik,2
"Pazaryerinde atıklar gün sonunda toplanmıyor, sinek kaynıyor.",2,Temizlik,2
"Bisiklet yolunun ortasında ağaç var, geçiş tehlikeli.",2,Altyapı,2
Parklardaki oturma grupları kırık ve kullanılamaz halde.,2,Çevre,2
İmar çalışmaları yüzünden yollar sürekli kapatılıyor.,2,Altyapı,2
Şehrin girişindeki ‘hoş geldiniz’ tabelası yerinden düşmüş.,2,Çevre,2
"Mahallemizdeki parkta gece alkol tüketiliyor, cam kırıkları çocuklar için tehlike yaratıyor.",3,Güvenlik,3
"Otobüs saatleri uygulamayla uyuşmuyor, çok bekliyoruz.",2,Ulaşım,2
"Yeni yapılan spor alanı gece çok gürültülü, uyuyamıyoruz.",2,Çevre,2
"Çöp kamyonları sabah çok erken saatlerde çalışıyor, uyanıyoruz.",2,Temizlik,2
"Asfalt yeni döküldü ama hemen bozuldu, araba sallanıyor.",2,Altyapı,2
"Engelli rampaları çoğu yerde çok dik, kullanmak mümkün değil.",2,Altyapı,2
"Pazar sonrası yollar çamur içinde kalıyor, temizlik yapılmıyor.",2,Temizlik,2
"Kültür merkezinde klima bozuk, içerisi havasız.",2,Sosyal Hizmet,2
"Sokakta kanalizasyon kapağı açık, çocuklar için tehlike arz ediyor.",2,Altyapı,2
"Toplu taşıma kart makineleri sık sık bozuluyor, binemiyoruz.",2,Ulaşım,2
Mahalledeki çeşmeden çamurlu su akıyor.,2,Altyapı,2
"Yeni yapılan otobüs durağı güneşin altında, gölgelik yok.",2,Ulaşım,2
Sokak müzisyenleri sabahın erken saatlerinde çok gürültülü.,2,Çevre,2
"Çöp konteynerlerinin çevresi sürekli pis, koku dayanılmaz.",2,Temizlik,2
Engelli otopark yerlerine normal araçlar park ediyor.,2,Güvenlik,2
"Şehirde yeterince yeşil alan yok, çocuklar oyun oynayamıyor.",2,Çevre,2
"Mahalledeki otobüs durağında oturacak bank yok, yaşlılar ayakta bekliyor.",2,Ulaşım,2
"Yaya geçitleri silinmiş, sürücüler fark etmiyor.",2,Güvenlik,2
"Sokak lambaları sürekli yanıp sönüyor, gözümüzü alıyor.",2,Güvenlik,2
"Çocuk parkındaki kaydırak kırık, çocuklar düşme riskiyle oynuyor.",2,Çevre,2
Sahil yürüyüş yolunda bisikletliler yaya yolunu kullanıyor.,2,Ulaşım,2
"Yağmur sonrası mazgallar tıkanıyor, su taşkını oluyor.",2,Altyapı,2
Mahallemize belediye otobüsü artık uğramıyor.,2,Ulaşım,2
Kaldırımlar eğik ve tekerlekli sandalye için uygun değil.,2,Altyapı,2
"Mahallemizdeki cami çevresi temizlenmiyor, görüntü kötü.",2,Temizlik,2
"Belediye otobüsleri çok eski, sürekli arıza yapıyor.",2,Ulaşım,2
"Sokaklar karanlık, lambalar uzun süredir yanmıyor.",2,Güvenlik,2
Yağmur sonrası yollarda devasa çukurlar oluşuyor.,2,Altyapı,2
Mahallemize kütüphane yapılacağı söylendi ama hâlâ bir gelişme yok.,2,Eğitim,2
Bazı duraklarda saat bilgisi ekranları çalışmıyor.,2,Ulaşım,2
"Kentsel dönüşüm sürecinde bilgi verilmiyor, kimse ne olduğunu bilmiyor.",2,Altyapı,2
"Mahalle parkı aylardır bakımsız, otlar diz boyu.",2,Çevre,2
"Kızım her sabah okula gidiyor, otobüs dolu diye binemiyor. Bu nasıl iş?",2,Ulaşım,2
"Yağmur yağınca bizim sokak göl oluyor, çocuklar okula geç kalıyor.",2,Altyapı,2
"Mahallenin ortasında boş bir arsa var, otlar boyumuzu geçti. Yılan çıkar vallahi!",2,Çevre,2
Gece saat üçte çöp kamyonu mu olur? Bütün apartman uyandı.,2,Temizlik,2
"Pazaryerinin çıkışında kaldırım yok, yaşlılar düşüp bir yerlerini kıracak bir gün.",2,Altyapı,2
Parktaki çeşmeden su akmıyor. Ne zaman gelecekse artık bu hizmet!,2,Çevre,2
Otobüs durağında ne bir çöp kutusu var ne bir oturacak yer. Beklerken mahvolduk.,2,Ulaşım,2
Şehirde bu kadar köpek olur mu? Çocuklar korkudan dışarı çıkamıyor.,2,Güvenlik,2
"Akşam 9’dan sonra bizim sokakta otobüs geçmiyor, eve yürüyerek dönüyoruz.",2,Ulaşım,2
"Parkta oturacak bank kalmamış, hepsi kırık dökük.",2,Çevre,2
"Çöp kutuları dolup taşıyor, sokak leş gibi kokuyor.",2,Temizlik,2
"Sokak lambaları günlerdir yanmıyor, korkudan yürüyemiyoruz.",2,Güvenlik,2
"Pazar yeri sonrası ortalık savaş alanı gibi kalıyor, temizleyen yok.",2,Temizlik,2
Otobüsler ne zaman gelse ya çok kalabalık ya da arıza yapıyor.,2,Ulaşım,2
"Kaldırım taşları yerinden çıkmış, bebek arabası süremiyoruz.",2,Altyapı,2
"Mahalledeki boş alan çöplük gibi olmuş, sinekten durulmuyor.",2,Çevre,2
"Yağmur yağınca her yer göle dönüyor, altyapı sıfır.",2,Altyapı,2
"Otobüs durağında ne tabela var ne saat bilgisi, rastgele bekliyoruz.",2,Ulaşım,2
"Bazı şoförler çok agresif, yaşlılarla bile tartışıyorlar.",2,Ulaşım,2
"Ağaçlar budanmıyor, kaldırımlarda yürüyemiyoruz.",2,Çevre,2
"Kültür merkezinde engelli rampası yok, tekerlekli sandalye giremiyor.",2,Sosyal Hizmet,2
Mahallede bir tane bile bisiklet yolu yok.,1,Ulaşım,1
"Tuvaletler pis, sabun yok, peçete yok, hijyen sıfır.",2,Temizlik,2
"Oyun parkındaki zemin beton, çocuklar düşse ciddi yaralanır.",2,Çevre,2
"Mahalledeki kavşakta trafik ışığı yok, araçlar deli gibi geçiyor.",2,Güvenlik,2
"Parkta gece aydınlatma yok, gençler içki içip bağırıyor.",2,Çevre,2
"Kütüphane çok eski, kitaplar yıpranmış, ilgilenen yok.",2,Eğitim,2
"Yaya geçidi silinmiş, araçlar durmuyor, çocuklar tehlikede.",2,Güvenlik,2
"Caddede hız sınırı tabelası yok, sürücüler yarış yapıyor gibi.",2,Güvenlik,2
"Durağın çatısı kırık, yağmurda sırılsıklam oluyoruz.",2,Ulaşım,2
Yaşlı teyzem ambulans çağırdı ama 40 dakikada geldi!,2,Sağlık,2
"Şehir merkezine giden minibüsler çok düzensiz, bekle bekle gelmiyor.",2,Ulaşım,2
Belediye hizmet binasına randevusuz gidince işlemin yapılmıyor.,2,Teknoloji / İletişim,2
"Çocuk parkındaki salıncak zinciri paslı, tehlikeli görünüyor.",2,Çevre,2
"Sokak araları sürekli kazılıyor, bitmek bilmiyor.",2,Altyapı,2
Mahallede pazar kuruluyor ama çıkışta temizlik sıfır.,1,Temizlik,1
"Otobüs içi çok kirli, koltuklar yapış yapış.",2,Ulaşım,2
Kamusal alanlarda tuvaletler hep kilitli oluyor.,2,Temizlik,2
Bazı belediye çalışanları vatandaşa ters cevap veriyor.,1,İletişim,1
Mahallemize yıllardır kültürel etkinlik gelmedi.,2,Sosyal Hizmet,2
"Mahalledeki sosyal yardım dağıtımı adaletsiz, herkes sıraya giriyor ama bazıları önden geçiyor.",2,Sosyal Hizmet,2
Kış geldi ama hâlâ kömür yardımı yapılmadı.,2,Sosyal Hizmet,2
"Aile danışmanlığı merkezi hep kapalı, ne zaman gitsek görevli yok.",2,Sosyal Hizmet,2
"Mahallemizdeki çeşmeden su akmıyor, hem de haftalardır.",2,Altyapı,2
"Yeni yapılan parkın etrafı çitlenmemiş, köpekler girip duruyor.",2,Çevre,2
Kur’an kursu binası yıkıldı ama yerine bir şey yapılmadı.,2,Eğitim,2
Engelli rampaları ya çok dik ya da hiç yok.,2,Sosyal Hizmet,2
"Muhtarlık binasında görevli yok, kağıt imzalatmak için 3 kere gittim.",2,İletişim,2
"Camii çevresi temizlenmiyor, çok kötü kokuyor.",2,Temizlik,2
"Kültürel etkinlikler hep şehir merkezinde, bizim mahalle unutuluyor.",2,Sosyal Hizmet,2
Kadın danışma hattını arıyoruz ama açan yok.,2,İletişim,2
Mobil sağlık aracı bu ay hiç uğramadı.,2,Sağlık,2
Yeni açılan kursta öğretmen sürekli geç kalıyor.,2,Eğitim,2
Asfalt çalışması var ama kimse önceden bilgilendirme yapmıyor.,2,Altyapı,2
"Sokakta internet altyapısı yok, çocuklar online derse giremiyor.",2,Teknoloji / Eğitim,2
"Aylardır otobüs saatlerine uymuyorlar, boşuna tabela koymuşlar.",2,Ulaşım,2
"Sokakta çöp toplanmıyor, kediler hepsini dağıtıyor.",2,Temizlik,2
Mahalle arası yollar o kadar bozuk ki arabamın altı sürekli vuruyor.,2,Altyapı,2
Kanalizasyon kokusu tüm sokakta burnumuza burnumuza geliyor.,2,Altyapı,2
"Sahil yürüyüş yoluna tekerlekli sandalye ile inmek mümkün değil, giriş yok.",2,Sosyal Hizmet,2
"Parkta spor aletlerinin yarısı kırık, tehlikeli bile olabilir.",2,Çevre,2
Bebek arabasıyla yürünecek kaldırım bulamıyoruz.,2,Altyapı,2
"Asansör sürekli bozuluyor, yaşlılar çıkamıyor üst kata.",2,Altyapı,2
"Toplu taşımada klima yok, yazın pişiyoruz.",2,Ulaşım,2
"Mahallede sokak köpekleri çok saldırgan, çocukları korkutuyor.",2,Güvenlik,2
"Pazar yerinde otopark yok, arabalar her yeri tıkıyor.",2,Altyapı,2
"Kırsal mahallede telefon çekmiyor, dış dünyayla bağımız kopuk.",2,Teknoloji / İletişim,2
Belediyeye mesaj attım ama ne dönen var ne ilgilenen.,2,İletişim,2
"Yeni yapılan spor sahasında gece ışıklandırma yok, kimse kullanamıyor.",2,Sosyal Hizmet,2
Mahallede okul binası eski ve çatısı akıyor.,2,Eğitim,2
"Otobüslerde maskesiz insanlar hala dolaşıyor, denetim yok.",2,Ulaşım,2
"Dere kenarları temizlenmiyor, sivrisinekten durulmuyor.",2,Çevre,2
"Yağmur sonrası rögarlar taşıyor, yol göle dönüyor.",2,Altyapı,2
"Pazar yerleri savaş alanı gibi! Her yer çöp içinde, sebze meyve artıkları etrafa saçılmış. Biraz daha düzenli ve temiz olsa fena mı olur? Hem satıcılar hem de biz rahat ederiz.",3,Temizlik,3
"Sahil şeridi desen tam bir felaket! İzmaritler, pet şişeler, poşetler... Sanki çöp denizi! Bu güzelim sahilimizi bu hale getirmek ayıp değil mi?",3,Temizlik,3
"Trafik ışıklarıyla kim oynuyor anlamıyorum! Yeşil yanıyor, daha geçmeden sarı oluyor, sonra kırmızı! İnsan şaşırıyor ne yapacağını.",2,Ulaşım,2
