metin,eksiler,kategori,onem_skoru
"Sular sürekli gidip geliyor, hidroforlar zarar görüyor.",3,Altyapı,3
"Bir haftadır elektrik direğinde kıvılcım var, kimse müdahale etmedi.",4,Altyapı,4
"Hafta sonu otobüs seferleri çok seyrek, ulaşımda büyük sıkıntı yaşıyoruz.",2,Altyapı,2
"Mahalledeki salıncaklar kırık, çocuklar oynayamıyor.",1,Altyapı,1
"3 gündür hiçbir yerde su yok, banyo bile yapamıyoruz.",5,Altyapı,5
"Elektrik gidince sular da kesiliyor, çözüm bulunmalı.",4,Altyapı,4
"Geceleri sokak lambaları yanmıyor, güvensizlik oluştu.",3,Altyapı,3
"Mezarlık yolu çamur içinde, yaşlılar ulaşamıyor.",2,Altyapı,2
"Otobüslerin saatleri çok uyumsuz, işe geç kalıyoruz.",2,Altyapı,2
"Sokak köpekleri artmaya başladı, belediye ilgilenmeli.",2,Altyapı,2
"Sular kesildiğinde bilgilendirme yapılmıyor.",3,Altyapı,3
"Hem su hem elektrik aynı anda kesildi, zor durumdayız.",5,Altyapı,5
"Salıncak kırık, belediyeye bildirdik ama yapılmadı.",1,Altyapı,1
"Sokaklarda temizlik yapılmıyor, çöpler birikiyor.",2,Altyapı,2
"Hafta sonu otobüs yok, merkeze ulaşamıyoruz.",2,Altyapı,2
"2 gündür elektrik yok, buzdolabındaki her şey bozuldu.",3,Altyapı,3
"Her yağmurda elektrikler kesiliyor.",3,Altyapı,3
"Mahallemizde çocuk parkı yok, çocuklar yolda oynuyor.",4,Altyapı,4
"3 gündür hem elektrik hem su yok, bu nasıl hizmet!",5,Altyapı,5
"Sular kesik, annem hasta, suya erişemiyoruz.",5,Altyapı,5
"Çöp konteynerleri çok dolu, sinekler çoğaldı.",2,Altyapı,2
"Otobüslerin güzergahı değişti, kimseye haber verilmedi.",2,Altyapı,2
"Yeni yapılan parkta salıncaklar eksik.",1,Altyapı,1
"Elektrik sürekli gidiyor, cihazlarımız zarar görüyor.",3,Altyapı,3
"Sular sabah saatlerinde tamamen kesiliyor.",3,Altyapı,3
"Habersiz elektrik kesintileri yapılıyor, 4 gündür elektrik yok.",4,Altyapı,4
"Sokak lambaları gündüz yanıyor, gece sönüyor.",1,Altyapı,1
"Sokak köpekleri bazı çocuklara saldırmış.",3,Altyapı,3
"Belediyenin sitesinde sefer saatleri yanlış yazıyor.",1,Altyapı,1
"Yağmur yağınca sular çamurlu akıyor.",2,Altyapı,2
"Parktaki oturma bankları kırık.",1,Altyapı,1
"3 gündür elektrikler yok, mahalle karanlıkta.",4,Altyapı,4
"Sokaklarda su birikiyor, sivrisinekler çoğaldı.",2,Altyapı,2
"Otobüsler çok kalabalık, ayakta seyahat ediyoruz.",2,Altyapı,2
"Mahalle girişine çöp atılıyor, çevre kirliliği oluşuyor.",2,Altyapı,2
"Sular kesiliyor ama arıza ekibi gelmiyor.",3,Altyapı,3
"Su deposu patladı, bina sular altında.",5,Altyapı,5
"Belediyenin temizlik aracı günlerdir uğramıyor.",2,Altyapı,2
"Yol kenarları çok bozuk, bisiklet sürmek imkânsız.",3,Altyapı,3
"Elektrik telleri sarkmış, tehlike arz ediyor.",4,Altyapı,4
"Çocuk oyun alanı taşlarla dolu, tehlikeli.",2,Altyapı,2
"Elektrik su kesintileri için çözüm talep ediyoruz.",4,Altyapı,4
"Altyapı yetersiz, her yağmurda sorun yaşıyoruz.",3,Altyapı,3
"2 gündür elektrik ve su kesik, kimse ilgilenmiyor.",5,Altyapı,5
"Parkta başıboş köpekler çocuklara havlayarak korkutuyor, güvenliğimiz tehlikede.",3,Altyapı,3
"Sokak kedilerinin sayısı hızla artıyor, artık sağlık ve temizlik sorunlarına yol açıyor.",2,Altyapı,2
"Su ve elektrik faturası işlemleri için belediyeye gelen vatandaşlar saatlerce sıra bekliyor.",2,Altyapı,2
"Ödeme işlemleri için belediyeye giden yaşlı vatandaşlar yeterli yönlendirme bulamıyor.",1,Altyapı,1
"Mezarlıklarda isimsiz mezarların sayısı artıyor, kayıp kişilere ulaşmakta zorluk yaşanıyor.",2,Altyapı,2
"Yoğun yağış sonrası şehir merkezindeki rögar kapakları tıkandı, sokaklar diz seviyesine kadar suyla doldu.",4,Altyapı,4
"Mahallede haftalardır yanmayan sokak lambaları nedeniyle geceleri yürümek tehlikeli hale geldi.",3,Altyapı,3
"Yağmur sonrası oluşan çukurlar sürücüler için büyük tehlike oluşturuyor, acil asfalt çalışması gerek.",4,Altyapı,4
"Şehir hastanesine giden tüm yollar aynı anda trafiğe kapandı, ambulanslar yön değiştirmekte zorlandı.",4,Altyapı,4
"Otobüs o kadar doluydu ki insanlar adım atamıyordu, bir yolcu sıkışıklıktan ve sıcaktan bayıldı.",3,Ulaşım,3
"Yoğun yağış sonrası meydana gelen heyelanda toprak yola aktı, ulaşım tamamen durdu. Belediye önceden önlem almalıydı.",4,Altyapı,4
"Yeni yapılan sahil yürüyüş yolunda aydınlatmalar eksik, akşam saatlerinde güvenlik endişesi yaratıyor.",3,Altyapı,3
"Şehir meydanındaki çocuk parkında güvenlik bariyerleri yok, geçen gün bir çocuk oyun alanından yola fırladı.",4,Altyapı,4
